N,logits_ece,acc,unc_acc,unc_auroc,unc_ece,dataset,split,ts,model_name,train_mode,eval_mode,fuzzy_gpt-3.5-turbo-1106_acc,fuzzy_gpt-3.5-turbo-1106_unc_acc,fuzzy_gpt-3.5-turbo-1106_unc_auroc,fuzzy_gpt-3.5-turbo-1106_unc_ece
11,0.12410461631688204,0.27272728085517883,0.7272727489471436,0.75,0.2737883708693764,mmlu:abstract_algebra,validation,4.572419252246618,llama2_7b,choice,choice,,,,
100,0.07953203886747359,0.32999998331069946,0.6599999666213989,0.5626413387607418,0.08722876965999601,mmlu:abstract_algebra,test,10.942548049613833,llama2_7b,choice,choice,,,,
14,0.22909083962440496,0.6428571939468384,0.5,0.2666666666666666,0.23303002970559258,mmlu:anatomy,validation,1.6590513112023473,llama2_7b,choice,choice,,,,
135,0.07160205487851744,0.4740740656852722,0.5925925970077515,0.5795554577464789,0.1230466255435237,mmlu:anatomy,test,15.729030864778906,llama2_7b,choice,choice,,,,
16,0.19345908984541893,0.4375,0.625,0.5555555555555556,0.07419443503022195,mmlu:astronomy,validation,2.9900210769847035,llama2_7b,choice,choice,,,,
152,0.07946011345637473,0.43421053886413574,0.5394737124443054,0.642706131078224,0.18586426541993495,mmlu:astronomy,test,27.537310626823455,llama2_7b,choice,choice,,,,
11,0.27413684400645166,0.6363636255264282,0.5454545617103577,0.8392857142857143,0.10348952358419244,mmlu:business_ethics,validation,2.0859912019222975,llama2_7b,choice,choice,,,,
100,0.06629755079746247,0.5099999904632568,0.5600000023841858,0.49519807923169273,0.05597925961017612,mmlu:business_ethics,test,18.029196294024587,llama2_7b,choice,choice,,,,
29,0.19685095548629758,0.41379308700561523,0.41379308700561523,0.43137254901960786,0.287348942510013,mmlu:clinical_knowledge,validation,3.8486860231496394,llama2_7b,choice,choice,,,,
265,0.06912144422531129,0.47924530506134033,0.501886785030365,0.6070409677051238,0.20773469974409856,mmlu:clinical_knowledge,test,34.46673904871568,llama2_7b,choice,choice,,,,
16,0.11853781528770924,0.375,0.4375,0.7666666666666666,0.2742762304842472,mmlu:college_biology,validation,2.4872198780067265,llama2_7b,choice,choice,,,,
144,0.053375539059440306,0.4513888955116272,0.472222238779068,0.5518987341772152,0.23960318954454526,mmlu:college_biology,test,22.606402272824198,llama2_7b,choice,choice,,,,
