N,logits_ece,acc,unc_acc,unc_auroc,unc_ece,dataset,split,ts,model_name,eval_mode,train_mode,fuzzy_gpt-3.5-turbo-1106_acc,fuzzy_gpt-3.5-turbo-1106_unc_acc,fuzzy_gpt-3.5-turbo-1106_unc_auroc,fuzzy_gpt-3.5-turbo-1106_unc_ece
14,0.4112160929611751,0.5714285969734192,0.4285714626312256,0.5833333333333334,0.42392722623688833,mmlu:anatomy,validation,3.542531879618764,mistral_7b_instruct,choice,choice,,,,
135,0.30549711872030183,0.5999999642372131,0.614814817905426,0.5887059899405579,0.2001916850054706,mmlu:anatomy,test,15.215682519599795,mistral_7b_instruct,choice,choice,,,,
16,0.34233415871858597,0.5625,0.5,0.6666666666666667,0.2549814321100712,mmlu:astronomy,validation,2.928074397146702,mistral_7b_instruct,choice,choice,,,,
152,0.2402420408631626,0.6513158082962036,0.6381579041481018,0.6475128644939965,0.09614056309587077,mmlu:astronomy,test,26.2796410638839,mistral_7b_instruct,choice,choice,,,,
11,0.2133804505521601,0.7272727489471436,0.6363636255264282,0.625,0.23302250016819348,mmlu:business_ethics,validation,1.9673222173005342,mistral_7b_instruct,choice,choice,,,,
100,0.3043138575553894,0.5600000023841858,0.6699999570846558,0.6986607142857143,0.09768201231956483,mmlu:business_ethics,test,16.837190622463822,mistral_7b_instruct,choice,choice,,,,
29,0.2928923409560631,0.6206896305084229,0.6551724076271057,0.7651515151515151,0.09200057284585361,mmlu:clinical_knowledge,validation,3.829222960397601,mistral_7b_instruct,choice,choice,,,,
265,0.21389452466424902,0.6905660629272461,0.701886773109436,0.6375449820071971,0.04749359274810216,mmlu:clinical_knowledge,test,33.51445431821048,mistral_7b_instruct,choice,choice,,,,
16,0.280781714245677,0.6875,0.6875,0.7636363636363637,0.13231129944324493,mmlu:college_biology,validation,2.474926684051752,mistral_7b_instruct,choice,choice,,,,
144,0.22419004763166112,0.7291666865348816,0.6736111044883728,0.6432234432234433,0.0965099905927976,mmlu:college_biology,test,21.526611860841513,mistral_7b_instruct,choice,choice,,,,
8,0.410574235022068,0.5,0.75,0.6875,0.08362984657287599,mmlu:college_chemistry,validation,1.5127430837601423,mistral_7b_instruct,choice,choice,,,,
100,0.3482097971439362,0.44999998807907104,0.6499999761581421,0.610305958132045,0.09148087859153749,mmlu:college_chemistry,test,16.685084270313382,mistral_7b_instruct,choice,choice,,,,
11,0.3158503472805023,0.4545454680919647,0.7272727489471436,0.5,0.33870983123779297,mmlu:college_computer_science,validation,2.82295891828835,mistral_7b_instruct,choice,choice,,,,
100,0.23187010854482654,0.5199999809265137,0.6299999952316284,0.4579326923076923,0.11903350591659546,mmlu:college_computer_science,test,25.473862681537867,mistral_7b_instruct,choice,choice,,,,
11,0.41089535301381896,0.5454545617103577,0.6363636255264282,0.2333333333333333,0.08859606222672894,mmlu:college_mathematics,validation,2.0391697082668543,mistral_7b_instruct,choice,choice,,,,
