dataset,fuzzy_gpt-3\\.5-turbo-1106_ece_counting,fuzzy_gpt-3\\.5-turbo-1106_ece_likelihood,fuzzy_gpt-3\\.5-turbo-1106_auroc_counting,fuzzy_gpt-3\\.5-turbo-1106_auroc_likelihood,fuzzy_gpt-3\\.5-turbo-1106_unc_prediction_counting,fuzzy_gpt-3\\.5-turbo-1106_unc_prediction_likelihood,split,model
mmlu:electrical_engineering,0.07448275862068968,0.07917334703546726,0.535443722943723,0.5457251082251082,0.020689655172413793,0.013793103448275862,test,llama2_7b
mmlu:electrical_engineering,0.11249999999999999,0.09510779489249664,,,0.0625,0.0,validation,llama2_7b
mmlu:electrical_engineering,0.07448275862068968,0.07917334703546726,0.535443722943723,0.5457251082251082,0.020689655172413793,0.013793103448275862,run-20240222_071420-1f183rzh,llama2_7b
mmlu:electrical_engineering,0.11249999999999999,0.09510779489249664,,,0.0625,0.0,run-20240222_071420-1f183rzh,llama2_7b
mmlu:electrical_engineering,0.07448275862068968,0.07917334703546726,0.535443722943723,0.5457251082251082,0.020689655172413793,0.013793103448275862,latest-run,llama2_7b
mmlu:electrical_engineering,0.11249999999999999,0.09510779489249664,,,0.0625,0.0,latest-run,llama2_7b
mmlu:international_law,0.2966942148760331,0.29945449735807694,0.6429550438596492,0.614720394736842,0.0,0.0,test,llama2_7b
mmlu:international_law,0.2923076923076923,0.2907507082839019,,,0.0,0.0,validation,llama2_7b
mmlu:international_law,0.2966942148760331,0.29945449735807694,0.6429550438596492,0.614720394736842,0.0,0.0,run-20240222_110612-jiz6nh16,llama2_7b
mmlu:international_law,0.2923076923076923,0.2907507082839019,,,0.0,0.0,run-20240222_110612-jiz6nh16,llama2_7b
mmlu:international_law,0.2966942148760331,0.29945449735807694,0.6429550438596492,0.614720394736842,0.0,0.0,latest-run,llama2_7b
mmlu:international_law,0.2923076923076923,0.2907507082839019,,,0.0,0.0,latest-run,llama2_7b
mmlu:medical_genetics,0.125,0.1271540033138533,0.5264105642256902,0.5150060024009604,0.42,0.22,test,llama2_7b
mmlu:medical_genetics,0.2,0.3219578620130581,,,0.6363636363636364,0.5454545454545454,validation,llama2_7b
mmlu:medical_genetics,0.125,0.1271540033138533,0.5264105642256902,0.5150060024009604,0.42,0.22,run-20240222_114632-ztuey9fa,llama2_7b
mmlu:medical_genetics,0.2,0.3219578620130581,,,0.6363636363636364,0.5454545454545454,run-20240222_114632-ztuey9fa,llama2_7b
mmlu:medical_genetics,0.125,0.1271540033138533,0.5264105642256902,0.5150060024009604,0.42,0.22,latest-run,llama2_7b
mmlu:medical_genetics,0.2,0.3219578620130581,,,0.6363636363636364,0.5454545454545454,latest-run,llama2_7b
mmlu:moral_scenarios,0.16300000000000006,0.18401442035013704,,,0.1,0.07,validation,llama2_7b
mmlu:formal_logic,0.1523809523809524,0.15982020361062307,0.4911934406316429,0.4925599757060431,0.023809523809523808,0.015873015873015872,test,llama2_7b
mmlu:formal_logic,0.20714285714285718,0.24493086605188183,,,0.0,0.0,validation,llama2_7b
mmlu:formal_logic,0.1523809523809524,0.15982020361062307,0.4911934406316429,0.4925599757060431,0.023809523809523808,0.015873015873015872,run-20240222_074418-a8om5f8e,llama2_7b
mmlu:formal_logic,0.20714285714285718,0.24493086605188183,,,0.0,0.0,run-20240222_074418-a8om5f8e,llama2_7b
mmlu:formal_logic,0.1523809523809524,0.15982020361062307,0.4911934406316429,0.4925599757060431,0.023809523809523808,0.015873015873015872,latest-run,llama2_7b
mmlu:formal_logic,0.20714285714285718,0.24493086605188183,,,0.0,0.0,latest-run,llama2_7b
mmlu:astronomy,0.19999999999999998,0.19453147671885737,0.662109375,0.67578125,0.15625,0.125,test,llama2_7b
mmlu:astronomy,0.25625000000000003,0.2724902744453694,0.51953125,0.5625,0.03125,0.0,test,llama2_7b
mmlu:astronomy,0.25,0.29015070398396936,0.3643724696356275,0.2834008097165992,0.09375,0.0625,test,llama2_7b
mmlu:astronomy,0.35624999999999996,0.41631258455145914,0.46536796536796543,0.49350649350649345,0.25,0.125,test,llama2_7b
mmlu:astronomy,0.29375,0.32606600851910594,0.4384920634920635,0.46031746031746035,0.09375,0.03125,test,llama2_7b
mmlu:astronomy,0.26875,0.2665997003625361,,,0.0,0.0,validation,llama2_7b
mmlu:astronomy,0.28125,0.2754320657251561,,,0.0,0.0,validation,llama2_7b
mmlu:astronomy,0.28125,0.2786146678200199,,,0.0,0.0,validation,llama2_7b
mmlu:astronomy,0.2125,0.2433537328437355,,,0.0,0.0,validation,llama2_7b
mmlu:astronomy,0.30624999999999997,0.3059030910430484,,,0.0,0.0,validation,llama2_7b
