N,fuzzy_gpt-3.5-turbo-1106_acc,fuzzy_gpt-3.5-turbo-1106_unc_acc,fuzzy_gpt-3.5-turbo-1106_unc_auroc,fuzzy_gpt-3.5-turbo-1106_unc_ece,dataset,split,ts,model_name,eval_method,eval_mode
14,0.5,0.6428571939468384,0.6326530612244898,0.21206725920949662,mmlu:anatomy,validation,7.15993907302618,llama2_7b_chat,ve1s1g,oe
135,0.29629629850387573,0.4296296238899231,0.6368421052631579,0.4340399978752424,mmlu:anatomy,test,36.32200316339731,llama2_7b_chat,ve1s1g,oe
16,0.25,0.75,0.75,0.26917653158307076,mmlu:astronomy,validation,4.310973746702075,llama2_7b_chat,ve1s1g,oe
152,0.32236841320991516,0.5855263471603394,0.6451357241925896,0.3065195160658181,mmlu:astronomy,test,47.65072542056441,llama2_7b_chat,ve1s1g,oe
11,0.09090909361839294,0.5454545617103577,1.0,0.3796150792728771,mmlu:business_ethics,validation,3.1552924923598766,llama2_7b_chat,ve1s1g,oe
100,0.14999999105930328,0.5199999809265137,0.6447058823529412,0.44109889209270475,mmlu:business_ethics,test,29.706477634608746,llama2_7b_chat,ve1s1g,oe
29,0.0,0.37931033968925476,,0.5466045613946586,mmlu:clinical_knowledge,validation,8.671833917498589,llama2_7b_chat,ve1s1g,oe
265,0.1924528330564499,0.5433962345123291,0.6305662451896646,0.38770865575047847,mmlu:clinical_knowledge,test,75.289894644171,llama2_7b_chat,ve1s1g,oe
16,0.375,0.625,0.45833333333333337,0.22045496702194212,mmlu:college_biology,validation,4.903543887659907,llama2_7b_chat,ve1s1g,oe
144,0.2638888955116272,0.4861111044883728,0.5453078450844092,0.3657558768779247,mmlu:college_biology,test,42.424567095935345,llama2_7b_chat,ve1s1g,oe
8,0.25,0.5,0.8333333333333334,0.395563074520656,mmlu:college_chemistry,validation,2.399824870750308,llama2_7b_chat,ve1s1g,oe
100,0.09999999403953552,0.3799999952316284,0.5588888888888889,0.44175146124800857,mmlu:college_chemistry,test,27.976833384484053,llama2_7b_chat,ve1s1g,oe
11,0.0,0.3636363744735718,,0.6062674143097617,mmlu:college_computer_science,validation,3.319419803097844,llama2_7b_chat,ve1s1g,oe
100,0.17999999225139618,0.4699999988079071,0.5863821138211383,0.4209470820426941,mmlu:college_computer_science,test,28.446324177086353,llama2_7b_chat,ve1s1g,oe
11,0.0,0.27272728085517883,,0.6454545530405912,mmlu:college_mathematics,validation,3.842251520603895,llama2_7b_chat,ve1s1g,oe
100,0.17000000178813934,0.5099999904632568,0.5946137491141035,0.4211569000035524,mmlu:college_mathematics,test,27.776950009167194,llama2_7b_chat,ve1s1g,oe
22,0.1818181872367859,0.6363636255264282,0.8333333333333334,0.3324385800144889,mmlu:college_medicine,validation,7.174065323546529,llama2_7b_chat,ve1s1g,oe
